1boy,"1个男人,1男"
electric_guitar,"电吉他"
electric_plug,"电插头"
electric_socket,"电源插座"
electricity,"电"
electro_emilia,"电艾米利亚"
electrocution,"触电"
electrode_(pokemon),"电极(口袋妖怪)"
electrodes,"电极"
electrokinesis,"电动力"
electrostimulation,"电刺激"
element_bending,"单元弯曲"
elemental_(creature),"元素(生物)"
elemental_master_(elsword),"元素大师(艾斯之剑)"
elena_(street_fighter),"埃琳娜(街头霸王)"
elena_trafalgar,"埃琳娜·特拉法加"
elephant,"大象"
elephant_ears,"大象耳朵"
elesa_(pokemon),"elesa(口袋妖怪)"
elesis_(elsword),"elesis(艾斯之剑)"
elevator,"电梯"
elezen,"元素"
elf,"精灵,妖精"
elf_(dragon's_crown),"精灵(龙冠)"
elf_(houtengeki),"精灵(houtengeki)"
elf_(stroll_in_the_woods),"精灵(在树林中漫步)"
elf_all-stars_datsuijan,"精灵全明星datsuijan"
elf_all-stars_datsuijan_2,"精灵全明星datsuijan2"
elf_ears,"尖耳"
elf_k,"精灵k"
elfen_lied,"精灵撒谎"
elfheim,"埃尔夫海姆"
elhaym_van_houten,"埃尔海姆·范豪顿"
elie_macdowell,"埃利麦克道威尔"
elijah_baley,"以利亚·贝利"
elin,"艾琳"
elina,"艾琳娜"
elina_(captain_of_the_royal_guard),"elina(皇家卫队队长)"
elincia_ridell_crimea,"艾琳西亚里德尔克里米亚"
elio_(pokemon),"埃利奥(宠物小精灵)"
elira_pendora,"埃拉潘多拉"
elis_(touhou),"伊利斯(东方)"
elisabeth_blanctorche,"伊丽莎白·布兰科切"
elisabeth_von_wettin,"伊丽莎白·冯·韦廷"
elise_(fire_emblem),"伊莉丝(火徽)"
elise_(league_of_legends),"伊莉丝(英雄联盟)"
elisia_valfelto,"艾丽西亚·瓦尔费尔托"
eliskalti,"埃利斯卡尔蒂"
elite_ii_(arknights),"精英ii(arknights)"
eliwood_(fire_emblem),"eliwood(火徽)"
eliza_(skullgirls),"伊丽莎(骷髅女孩)"
eliza_(tekken),"伊丽莎(铁拳)"
elizabeth_(bioshock_infinite),"伊丽莎白(生化奇兵无限)"
elizabeth_(gintama),"伊丽莎白(银魂)"
elizabeth_(persona),"伊丽莎白(角色)"
elizabeth_bathory_(brave)_(fate),"伊丽莎白巴托里(勇敢)(fate)"
elizabeth_bathory_(brave)_(fate)_(cosplay),"伊丽莎白巴托里(勇敢)(fate)(角色扮演)"
elizabeth_bathory_(fate),"伊丽莎白巴托里(fate)"
elizabeth_bathory_(fate/extra_ccc),"伊丽莎白巴托里(fate/额外的ccc)"
elizabeth_bathory_(first_ascension)_(fate),"伊丽莎白巴托里(第一次升天)(fate)"
elizabeth_bathory_(halloween_caster)_(fate),"伊丽莎白巴托里(万圣节施法者)(fate)"
elizabeth_bathory_(second_ascension)_(fate),"伊丽莎白巴托里(第二次提升)(fate)"
elizabeth_f._beurling,"伊丽莎白·f。伯灵"
elizabeth_liones,"伊丽莎白狮子座"
elizabeth_thompson,"伊丽莎白汤普森"
elizabeth_tower,"伊丽莎白塔"
elize_lutus,"elize卢图斯"
elle_mel_martha,"艾尔梅尔玛莎"
ellen_(touhou),"艾伦(东方)"
ellen_baker,"艾伦贝克"
ellipsis_(mitei),"省略号(mitei)"
elly_(touhou),"elly(东方)"
elma_(maidragon),"埃尔玛(女仆)"
elma_(xenoblade_x),"elma(异种之刃x)"
elma_leivonen,"埃尔玛·莱沃宁"
elona,"伊洛娜"
elphelt_valentine,"情人节"
elsa_(frozen),"艾尔莎(冷冻)"
elsa_granhilte,"艾尔莎·格兰希尔特"
elsevilla,"艾斯维拉"
elsword,"艾斯之剑"
elsword_(character),"elsword(字符)"
elucidator,"阐释者"
eluthel,"埃卢塞尔"
elven_forest_maker,"精灵森林制造者"
elysia_(honkai_impact),"elysia(honkai冲击)"
elysion,"爱丽舍"
elysium_(arknights),"极乐世界(方舟之夜)"
elza_straherz,"艾尔莎·斯特拉赫兹"
ema_skye,"伊玛斯凯"
emaciated,"憔悴"
email_address,"电子邮件地址"
embarrassed,"尴尬的"
embellished_costume,"装饰服装"
ember_(selen_tatsuki),"余烬(selentatsuki)"
ember_celica_(rwby),"余烬塞利卡(rwby)"
embers,"余烬"
emblem,"会徽"
emboar,"装运"
embodiment_of_scarlet_devil,"猩红恶魔的化身"
embroidered_bra,"刺绣文胸"
embroidered_panties,"刺绣内裤"
embroidery,"刺绣技法"
emden_(azur_lane),"埃姆登(碧蓝航线)"
emelie_(cyancapsule),"emelie(青色胶囊)"
emerada_(xenogears),"埃梅拉达(异种装备)"
emerald_(pokemon),"翡翠(宠物小精灵)"
emerald_sustrai,"翡翠南部"
emerane,"翡翠"
emg_(christain),"肌电图(克里斯汀)"
emia_(castilla),"血症(卡斯蒂利亚)"
emia_renya,"血红蛋白"
emia_wang,"王小姐"
emil_(nier),"埃米尔(尼尔)"
emil_castagnier,"埃米尔·卡斯塔尼"
emil_chronicle_online,"埃米尔编年史在线"
emilia_(re:zero),"艾米利亚(re:zero)"
emilico_(shadows_house),"emilico(影子屋)"
emily_(pure_dream),"艾米丽(纯梦)"
emily_stewart,"艾米莉·斯图尔特"
emily_stock,"艾米丽股票"
emiya_alter,"卫宫alter"
emiya_kiritsugu,"卫宫切嗣"
emiya_kiritsugu_(assassin),"卫宫切嗣(刺客)"
emiya_shirou,"卫宫士郎"
emlan,"伊姆兰"
emma_(yakusoku_no_neverland),"艾玛(yakusokunoneverland)"
emma_august,"艾玛八月"
emma_millstein,"艾玛米尔斯坦"
emma_sheen,"艾玛光泽"
emma_verde,"艾玛佛得角"
emmet_(pokemon),"埃米特(宠物小精灵)"
emofuri,"表情包"
emoji,"表情符号"
emolga,"埃莫尔加"
emon-yu,"右卫门"
emori_miku,"埃森未来"
emoticon,"图释"
emotional_engine_-_full_drive,"情感引擎-全驱动"
emotionless,"无口"
emotionless_sex,"无情的性爱"
emoto_reishi,"江本灵芝"
emperor_penguin,"帝企鹅"
emperor_penguin_(kemono_friends),"帝企鹅(kemono朋友)"
emperpep,"埃佩佩普"
emphasis_lines,"强调线"
employee_uniform,"员工制服"
empty,"空的"
empty_eyes,"空洞的眼睛"
empty_picture_frame,"空相框"
empty_pool,"空池"
emu_(toran),"鸸鹋(托兰)"
emurin,"埃姆林"
emyo,"肌肌瘤"
en'en_no_shouboutai,"恩恩没有手部台"
en_plein_air,"外光主義"
en_pointe,"正点"
enamelled_glass,"瓷釉玻璃"
enami_katsumi,"埃波克苏美"
enarane,"烯丙醇"
encasement,"外壳"
encaustic_painting,"瓷画"
end_card,"端卡"
end_of_evangelion,"新世纪福音战士的结局"
endeavor_(boku_no_hero_academia),"努力(bokunohero学术界)"
enderman,"末影人"
endori,"内多里"
endou_hiroto,"远藤广人"
endou_mamoru,"远藤守"
endou_masatoshi,"远藤正志"
endou_okito,"远藤冲人"
endou_saya,"远藤说"
endro!,"恩德罗！"
endured_face,"忍耐的表情"
ene_(kagerou_project),"ene(kagerou项目)"
enelis,"肠衣"
enema,"灌肠,灌肠剂"
enemy_aircraft_(kancolle),"敌机(舰娘)"
enemy_lifebuoy_(kancolle),"敌人救生圈(舰娘)"
enemy_naval_mine_(kancolle),"敌方水雷(舰娘)"
enemy_vessel_(warship_girls_r),"敌舰(军舰少女r)"
energy,"能源"
energy_ball,"能量球"
energy_barrier,"能量屏障"
energy_beam,"能量束"
energy_blade,"能量之刃"
energy_cannon,"能量炮"
energy_drain,"能量消耗"
energy_drink,"能量饮料"
energy_gun,"能量枪"
energy_shield,"能量护盾"
energy_sword,"能量剑"
energy_tank,"能量罐"
energy_weapon,"能量武器"
energy_wings,"能量之翼"
engage_kiss,"接吻"
engine,"发动机"
engiyoshi,"工程吉"
england,"英格兰"
english_audio,"英文音频"
english_commentary,"英文评论"
english_text,"英文文本"
engulfing_lightning_(genshin_impact),"薙草之稻光(原神)"
enjaku_izuku,"圆宿izuku"
enjoy_mix,"享受混合"
enkidu_(fate),"恩奇都(fate)"
enkidu_(weapon)_(fate),"恩奇都(武器)(fate)"
enkyo_yuuichirou,"圆桥悠一郎"
enlightened_byleth_(female),"开明的贝莱斯(女)"
enlightened_byleth_(male),"开明的贝莱斯(男)"
enma,"阎魔"
enma-chan,"恩玛酱"
enma_ai,"恩玛爱"
enmaided,"女仆装,婢女"
enna_alouette,"安娜云雀"
eno_yukimi,"野雪见"
enoki_p,"金针菇p"
enokuma_uuta,"江之熊uuta"
enomoto_hidehira,"榎本秀平"
enomoto_hina,"榎本雏"
enomoto_takane,"榎本高根"
enoo,"以诺"
enosan,"依诺聚糖"
enoshima_iki,"江之岛领航"
enoshima_junko,"江岛纯子"
enoshima_junko_(cosplay),"江之岛纯子(cosplay)"
enpe,"恩佩"
enpera,"恩佩拉"
enraku_tsubakura,"圆乐椿"
enrico_pucci,"恩里科·普奇"
ensemble_girls!,"合奏女孩！"
ensemble_stars!,"合奏明星！"
entangled,"纠结"
entei,"恩泰"
enterprise_(azur_lane),"企业(碧蓝航线)"
enterprise_(warship_girls_r),"企业(军舰少女r)"
enterprise_(wind_catcher)_(azur_lane),"企业(捕风者)(碧蓝航线)"
entrance,"入口"
entry_plug,"入口插头"
enty_reward,"实体奖励"
enumiyaa,"枚举"
enuni,"恩尤尼"
envelope,"信封"
envy,"羡慕"
envy_(fma),"羡慕(fma)"
eo_masaka,"尾正坂"
eonsang,"恩桑"
epaulettes,"肩章"
ephnel,"埃弗内尔"
ephraim_(fire_emblem),"以法莲(火徽)"
epi_zero,"外延零"
epic_armageddon,"史诗般的世界末日"
epic_seven,"史诗七千六百二十八"
epilepsy_warning,"癫痫警告"
episode_number,"集数"
epona,"埃波纳"
equation,"方程"
equipment_layout,"设备布局"
era_(erasion),"时代(擦除)"
erakin,"埃拉金"
eraser,"橡皮擦"
eraser_head_(boku_no_hero_academia),"橡皮擦头(bokunohero学术界)"
erebus_(azur_lane),"艾瑞布斯(碧蓝航线)"
erechan,"埃勒坎"
erect_clit,"膨胀的阴核"
erect_clitoris,"勃起的阴蒂"
erect_sawaru,"直立sawaru"
erection,"安装"
erection_under_clothes,"在衣服下勃起"
eredhen,"埃里登"
eremes_guile,"狡猾"
eren_yeager,"艾伦耶格尔"
ereraero,"埃雷拉罗"
erere,"埃雷尔"
eretto,"埃雷托"
ergot,"麦角"
erhu,"二胡"
eri_(boku_no_hero_academia),"eri(bokunohero学院)"
eria_the_water_charmer,"水魅力者eria"
eric_(tianqijiang),"eric(天启江)"
eric_cartman,"埃里克卡特曼"
erica_fontaine,"埃丽卡方丹"
erica_hartmann,"埃丽卡哈特曼"
erika_(pokemon),"erika(口袋妖怪)"
eriko_(princess_connect!),"eriko(公主连接！)"
erina_pendleton,"艾琳娜彭德尔顿"
eringi_(rmrafrn),"厄林吉(rmrafrn)"
erio_mondial,"世界日报"
eris_(konosuba),"厄里斯(konosuba)"
eris_greyrat,"厄里斯灰鼠"
eriyama_e,"绘山e"
erkaz,"埃尔卡兹"
erlenmeyer_flask,"锥形瓶"
ermes_costello,"埃姆斯科斯特洛"
ermine,"貂皮"
ernesto_de_la_cruz,"埃内斯托·德拉克鲁斯"
eroe,"爱罗"
erogos,"爱神"
eromame,"爱罗马"
eromanga_sensei,"埃罗曼加老师"
erospanda,"爱斯潘达"
erotibot,"色情机器人"
errant,"错误的"
error,"有错误"
error_message,"错误信息"
error_musume,"错误娘"
erstin_ho,"何思廷"
erubo,"埃鲁博"
erwin_(girls_und_panzer),"欧文(少女与装甲)"
erwin_smith,"欧文·史密斯"
erza_scarlet,"艾尔莎猩红色"
esaka,"江坂"
escalator,"自动扶梯"
escavalier,"骑士"
esdeath,"埃斯迪斯"
esidisi,"埃西迪西"
esouko,"埃苏科"
espeon,"埃斯佩恩"
esper_nyanko,"埃斯珀尼扬科"
espurr,"电竞"
essex_(azur_lane),"埃塞克斯(碧蓝航线)"
essex_(warship_girls_r),"埃塞克斯(军舰少女)"
est_(fire_emblem),"est(火徽)"
estelle_bright,"埃斯特尔明亮"
esther_shen,"沉以斯帖"
esu_(tasoesu),"埃苏(tasoesu)"
esureki,"埃苏里基"
esuyuki,"结雪"
etan14,"伊坦14"
eternal_arcadia,"永恒的阿卡迪亚"
eternal_return:_black_survival,"永恒回归：黑色求生"
eternal_sailor_moon,"永恒的水手月亮"
eternity_(shadeh),"永恒(阴影)"
eternity_larva,"永恒幼虫"
eternity_sword_series,"永恒剑系列"
ethan_(arknights),"伊森(方舟之夜)"
ethan_(pokemon),"伊桑(宠物小精灵)"
ethel_(xenoblade),"埃塞尔(异形之刃)"
ether_core,"以太核心"
etna_(kuzuyu),"埃特纳(kuzuyu)"
eto_(ikumika),"江户(ikumika)"
eto_(tokyo_ghoul),"eto(东京食尸鬼)"
etogami_kazuya,"etogami和也"
etopen,"等开放"
etorofu_(kancolle),"etorofu(舰娘)"
etotama,"埃托塔马"
etou_kanami,"江户神波"
etou_misaki_(idolmaster),"江户美咲(偶像大师)"
etsunami_kumita,"久田海啸"
ett,"等"
ettone,"埃顿"
etyaduke,"埃佳杜克"
eu03,"欧盟03"
eucliwood_hellscythe,"eucliwood地狱镰刀"
eugen_(granblue_fantasy),"尤金(碧蓝幻想)"
eugeo,"优吉欧"
eula_(genshin_impact),"优菈(原神)"
eun_(elsword),"恩(艾斯之剑)"
eunectes_(arknights),"eunectes(方舟之夜)"
eunectes_(forgemaster)_(arknights),"eunectes(forgemaster)(方舟之夜)"
eunie_(xenoblade),"尤妮(异形之刃)"
eunos,"优诺斯"
euphemism,"委婉语"
euphonium,"次中音号"
eurasian_eagle_owl_(kemono_friends),"欧亚雕鸮(kemono朋友)"
eurasian_tree_sparrow,"欧亚树麻雀"
eureka,"尤里卡"
eureka_seven,"尤里卡七"
eureka_seven_(series),"尤里卡七(系列)"
europa_(granblue_fantasy),"欧罗巴(碧蓝幻想)"
european_clothes,"欧洲服装"
euryale_(third_ascension)_(fate),"euryale(第三次提升)(fate)"
eusine_(pokemon),"尤辛(宠物小精灵)"
eustace_(granblue_fantasy),"尤斯塔斯(碧蓝幻想)"
eustass_captain_kid,"尤斯塔斯船长小子"
eva_00,"伊娃00"
eva_01,"伊娃01"
eva_02,"伊娃02"
eva_beatrice,"伊娃比阿特丽斯"
evan_yang,"埃文杨"
evandragon,"万事达"
evangeline_a.k._mcdowell,"伊万杰琳ak麦克道威尔"
evangelyne,"伊万杰琳"
eve_(chihuri),"前夕(chihuri)"
eve_(elsword),"夏娃(艾斯之剑)"
eve_santaclaus,"圣诞老人前夕"
evelynn_(league_of_legends),"伊芙琳(英雄联盟)"
evelysse_(star_ocean),"evelysse(星海)"
evening,"晚上"
evening_dress,"晚会礼服"
evening_gown,"晚礼服"
eventh7,"事件7"
ever_17,"曾经17"
everlasting_summer,"永远的夏天"
evertale,"永恒的"
everybody,"所有人"
everyone,"大家"
evil,"邪恶的"
evil_eye_sigma,"邪恶之眼sigma"
evil_eyes,"邪恶的眼睛"
evil_grin,"邪恶的露齿笑,坏笑,邪恶的笑容"
evil_smile,"邪恶的微笑"
evillious_nendaiki,"邪恶的嫩太基"
evo_grim,"埃沃严峻"
evoker,"唤起者"
evolution_championship_series,"进化冠军系列"
evolutionary_line,"进化线"
evolutionary_stone,"进化石"
evolvingmonkey,"不断进化的猴子"
evomanaphy,"进化论"
ewa_(seraphhuiyu),"伊娃(seraphhuiyu)"
ex-keine,"前基因"
ex-rumia,"前鲁米亚"
ex_albio,"白化"
ex_idol,"前偶像"
examination,"考试"
exaxuxer,"艾克斯"
excalibur_(fate/prototype),"excalibur(fate/原型)"
excalibur_(fate/stay_night),"excalibur(fate/留宿之夜)"
excalibur_morgan_(fate),"excalibur摩根(fate)"
excellen_browning,"出色的褐变"
excessive_cum,"过多的精液,溢出的精液"
excessive_nosebleed,"过度流鼻血"
excessive_pubic_hair,"极浓密的阴毛,阴毛过多"
excessive_pussy_juice,"过多的爱液,过多的阴道液"
excited,"兴奋"
execution,"执行"
executive_mishiro,"行政三郎"
executor_(arknights),"执行者(方舟之夜)"
exeggutor,"执行器"
exercise,"运动"
exercise_ball,"健身球"
exercise_machine,"健身机"
exhaust,"排气"
exhaust_pipe,"排气管"
exhausted,"筋疲力尽"
exhibitionism,"裸露癖,暴露狂"
exif_rotation,"exif旋转"
exiled_warrior_leina,"流放战士蕾娜"
exion_(neon),"外离子(氖)"
exit_sign,"出口标志"
exlic,"明确的"
exoskeleton,"外骨骼"
expectations/reality,"期望/现实"
expedition_uniform,"远征制服"
exploration,"勘探"
explosion,"爆炸"
explosion_gag,"爆炸堵嘴"
explosive,"爆炸物"
expo2025,"世博会2025"
exposed_muscle,"暴露的肌肉"
exposed_pocket,"外露口袋"
exposure_compensation,"曝光补偿"
exposure_stacking,"曝光叠加"
expression_chart,"角色的多表情展示,表情图"
expressionless,"面无表情"
expressionless_eyes,"失神"
expressions,"表情,表达式"
expressive_clothes,"富有表现力的衣服"
expressive_hair,"富有表现力的头发"
expressive_tail,"富有表现力的尾巴"
expulse,"驱逐"
extended_downblouse,"加长罩衫"
extra,"额外"
extra_arms,"额外的武器"
extra_breasts,"额外的乳房"
extra_digit,"多余手指"
extra_digits,"多余的数字"
extra_ears,"额外的耳朵"
extra_eyes,"额外的眼睛"
extra_faces,"额外的面孔"
extra_legs,"额外的腿"
extra_mouth,"额外的嘴巴"
extra_penises,"额外的阴茎"
extra_pupils,"额外的学生"
extraction,"提取"
extreme_insertion,"巨大插入"
extremely_detailed_cg_unity_8k_wallpaper,"极高分辨率cg壁纸,极高分辨率CG壁纸"
eye_(okame_nin),"眼睛(okamenin)"
eye_beam,"眼梁"
eye_black,"眼睛黑色"
eye_censor,"眼部打码"
eye_contact,"眼神交会,对视,眼神交流"
eye_focus,"眼睛焦点"
eye_lashes,"睫毛"
eye_of_horus,"荷鲁斯之眼"
eye_patch,"单眼罩"
eye_pop,"眼睛流行"
eye_print,"眼纹"
eye_reflection,"眼睛反射"
eye_roll,"眼睛抬头"
eye_rub,"揉眼睛"
eye_scar,"眼睛上的疤痕"
eye_socket,"眼窝"
eye_symbol,"眼睛符号"
eye_through_hair,"透过头发可以看到的眼睛"
eye_trail,"眼踪"
eyeball,"盯着看,眼球"
eyeball_hair_ornament,"眼球发饰"
eyebrow_cut,"眉毛剪"
eyebrow_piercing,"穿眉"
eyebrows,"眉毛"
eyebrows_behind_hair,"挡在头发下的眉毛"
eyebrows_visible_through_hair,"透过头发可以看到的眉毛"
eyebrows_visible_through_hat,"透过帽子可以看到眉毛"
eyecatch,"引人注目"
eyelid_pull,"拉眼皮"
eyeliner,"眼线笔"
eyepatch_bikini,"眼罩比基尼"
eyepatch_lift,"眼罩提升"
eyepatch_removed,"眼罩已移除"
eyes_closed,"闭眼"
eyes_in_shadow,"阴影中的眼睛"
eyes_of_grima,"格里玛的眼睛"
eyes_out_of_frame,"头部脱框"
eyes_visible_through_hair,"透过头发可见的眼睛"
eyes_wide,"睁开眼睛"
eyeshadow,"眼影"
eyeshield_21,"眼罩21"
eyewear_around_neck,"脖子上的眼镜"
eyewear_hang,"眼镜挂架"
eyewear_in_mouth,"戴眼镜"
eyewear_lift,"眼镜架"
eyewear_on_head,"眼镜别在头上,头戴眼镜"
eyewear_on_headwear,"头饰上的眼镜"
eyewear_removed,"取下眼镜"
eyewear_strap,"眼镜带"
eyewear_switch,"眼镜开关"
eyewear_view,"眼镜视图"
eyjafjalla_(arknights),"艾雅法拉(arknights)"
eyjafjalla_(summer_flowers)_(arknights),"eyjafjalla(夏花)(arknights)"
eymbee,"伊姆比"
ezaki_papiko,"江崎帕皮科"
ezo_brown_bear_(kemono_friends),"虾夷棕熊(kemono朋友)"
ezo_red_fox_(kemono_friends),"ezo红狐(kemono朋友)"
ezoshika,"江户"
ezreal,"伊兹瑞尔"
f-ism,"自由主义"
f-zero,"f-零"
fa_yuiry,"法尤里"
faba_(pokemon),"蚕豆(口袋妖怪)"
fabri,"法布里"
fabric,"面料"
fabulous,"很棒"
face,"仅脸部"
face-to-face,"面对面"
face_between_breasts,"两乳之间的脸"
face_down,"面朝下"
face_filter,"面部过滤器"
face_grab,"抓脸"
face_in_ass,"面对屁股"
face_in_hands,"双手握脸"
face_in_pillow,"枕头里的脸"
face_mask,"口罩"
face_of_the_people_who_sank_all_their_money_into_the_fx_(meme),"把所有的钱都投入到fx(meme)中的人的脸"
face_paint,"面纹"
face_punch,"打脸"
face_to_breasts,"面对乳房"
face_to_pecs,"面对胸肌"
facebook,"脸书"
facebook_logo,"脸书徽标"
facebook_username,"脸书用户名"
faceless,"不露面"
faceless_female,"不露面的女性"
faceless_male,"无脸男,不露面的男性"
faceoff,"对峙"
facepaint,"面漆"
facepalm,"掌心"
faceplant,"面部植物"
facesitting,"坐在脸上"
facial,"面部"
facial_hair,"胡子,面部毛发"
facial_mark,"面部标记"
facial_tattoo,"面部纹身"
facing_another,"二人面对面(脸贴得很近),面对另一个"
facing_away,"背对,背对着"
facing_down,"朝下"
facing_to_the_side,"面向侧面"
facing_up,"朝上"
facing_viewer,"面对观众"
facominn,"法科明"
factory,"工厂"
fading,"褪色"
fading_border,"褪色边框"
fae_(fire_emblem),"fae(火徽)"
faerie,"小精灵"
fagi_(kakikaki),"fagi(柿子)"
faicha,"法查"
failure_penguin,"失败企鹅"
faint_smile,"浅笑"
fainted,"晕倒了"
fainting,"晕倒"
fairey_swordfish,"仙女剑鱼"
fairy,"仙女"
fairy_(jintai),"仙女(金泰)"
fairy_(kancolle),"仙女(舰娘)"
fairy_fencer_f,"妖精剑士f"
fairy_knight_gawain_(fate),"妖精骑士高文(fate)"
fairy_knight_gawain_(second_ascension)_(fate),"妖精骑士高文(第二次升天)(fate)"
fairy_knight_lancelot_(fate),"妖精骑士兰斯洛特(fate)"
fairy_knight_lancelot_(first_ascension)_(fate),"仙侠骑士兰斯洛特(第一次升天)(fate)"
fairy_knight_lancelot_(second_ascension)_(fate),"妖精骑士兰斯洛特(第二次升天)(fate)"
fairy_knight_tristan_(fate),"妖精骑士特里斯坦(fate)"
fairy_knight_tristan_(second_ascension)_(fate),"仙侠骑士特里斯坦(第二次升天)(fate)"
fairy_maid_(touhou),"妖精女仆(东方)"
fairy_tail,"妖精的尾巴"
fairy_tone,"仙气"
fairy_wings,"妖精的翅膀,仙女翅膀"
faiz_azhar,"法伊兹阿扎尔"
fajyobore,"法约博尔"
fake_animal_ears,"假动物耳朵"
fake_antlers,"假鹿角"
fake_beard,"假胡须"
fake_box_art,"假盒子艺术"
fake_censor,"假审查员"
fake_cover,"假封面"
fake_halo,"假光环"
fake_horns,"假喇叭"
fake_magazine_cover,"假杂志封面"
fake_mustache,"假胡子"
fake_nails,"假指甲"
fake_screenshot,"假截图"
fake_tail,"假尾巴"
fake_video,"假视频"
fake_wings,"假翅膀"
fakemon,"假货"
fakepucco,"假普科"
fakkuma,"法库玛"
fal_(girls'_frontline),"fal(女子前线)"
fal_maro,"法尔马罗"
falchion_(fire_emblem),"弯刀(火徽)"
falco_lombardi,"法尔科·伦巴第"
falcon,"猎鹰"
falin_thorden,"法林索登"
falinks,"法林克斯"
falkner_(pokemon),"福克纳(宠物小精灵)"
fall_guy,"秋天的家伙"
fallen_angel,"堕落天使"
fallen_down,"跌倒了"
fallenshadow,"堕落的影子"
falling_card,"掉落卡"
falling_feathers,"飘落的羽毛"
falling_leaves,"落叶"
falling_petals,"飘落的花瓣"
falling_star,"流星"
fallopian_tubes,"输卵管"
fallout_(series),"辐射(系列)"
fallout_3,"辐射3"
fallout_4,"辐射4"
fallout_new_vegas,"辐射新维加斯"
false_arm,"假臂"
false_color,"伪色"
false_limb,"假肢"
false_smile,"假笑"
famas,"法马斯"
fami_(yellow_skies),"fami(黄色天空)"
famicom,"家庭电话"
familiar,"熟悉的"
familiar_(madoka_magica),"熟悉的(小圆魔法)"
family,"家庭"
family_computer_robot,"家庭电脑机器人"
family_crest,"家族徽章"
fan_la_norne,"范拉诺恩"
fan_over_face,"扇在脸上"
fan_speaking,"粉丝说话"
fanbox_reward,"粉丝盒奖励"
fanbox_username,"fanbox用户名"
fancybetty,"花式贝蒂"
fang,"虎牙,方"
fang_(arknights),"方(方舟)"
fang_assassin_irma,"方刺客艾玛"
fang_out,"露出虎牙/露出尖牙,方出"
fangdan_runiu,"方旦乳牛"
fangs,"尖牙,獠牙"
fangxiang_cuoluan,"芳香错乱"
fankupl,"范库尔"
fanning,"范宁"
fanning_crotch,"扇形胯部"
fanning_face,"扇面"
fanning_self,"扇动自我"
fanshu,"番数"
fanta_(the_banana_pistols),"芬达(香蕉手枪)"
fantasista_doll,"幻想娃娃"
fantastic_beasts_and_where_to_find_them,"神奇的野兽以及在哪里可以找到它们"
fantasy_earth_zero,"幻想地球零"
fantia_reward,"幻想奖励"
fantongjun,"范同军"
faputa,"法普塔"
farah_oersted,"法拉奥斯特"
fare_gate,"检票口"
farfetch'd,"牵强"
faris_scherwiz,"法里斯·舍维兹"
farm,"农场"
farmer,"农民"
farrah_(granblue_fantasy),"法拉(碧蓝幻想)"
fart,"放屁"
fartooth_(arknights),"远牙(方舟之夜)"
fary5,"法里5"
fashion,"时尚"
fast_food,"快餐"
fast_food_uniform,"快餐制服"
fat,"脂肪"
fat_man,"胖子"
fat_mons,"肥逼"
fat_rolls,"肥卷"
fataaa,"法塔阿"
fatal_frame,"致命帧"
fatal_frame_2,"致命帧2"
fatal_frame_3,"致命帧3"
fatal_frame_4,"致命帧4"
fatal_fury,"致命的愤怒"
fatal_fury_cap,"致命狂怒帽"
fate/apocrypha,"fate/伪经"
fate/empire_of_dirt,"fate/泥土帝国"
fate/extella_link,"fate/extella链接"
fate/extra,"fate/额外"
fate/extra_ccc,"fate/额外的ccc"
fate/extra_ccc_fox_tail,"fate/额外的ccc狐尾"
fate/grand_order,"fate/大订单"
fate/grand_order_arcade,"fate/大订单街机"
fate/hollow_ataraxia,"fate/空心共济失调"
fate/kaleid_liner_prisma_illya,"fate/万花筒班轮prismaillya"
fate/prototype,"fate/原型"
fate/prototype:_fragments_of_blue_and_silver,"fate/原型：蓝色和银色的碎片"
fate/requiem,"fate/安魂曲"
fate/strange_fake,"fate/奇怪的假货"
fate/tiger_colosseum,"fate/老虎斗兽场"
fate/unlimited_blade_works,"fate/无限刀片作品"
fate/unlimited_codes,"fate/无限代码"
fate/zero,"fate/零"
fate_(series),"fate(系列)"
fate_grand_order,"fgo,FGO"
fate_testarossa,"fate塔罗萨"
fate_testarossa_(cosplay),"fate塔罗莎(角色扮演)"
fate_testarossa_(impulse_form),"fate塔罗萨(冲动形式)"
fate_testarossa_(true_sonic_form),"fate塔罗萨(真正的声音形式)"
fateline_alpha,"fate线阿尔法"
father's_day,"父亲节"
father_and_daughter,"父亲和女儿"
father_and_son,"父子"
fatherly,"父亲"
fathom,"英寻"
fatina,"法蒂娜"
fatkewell,"法特克威尔"
faubynet,"福比网"
faucet,"水龙头"
faulds,"腹甲"
fault!!,"错！！"
faust_(arknights),"浮士德(方舟之夜)"
faust_(guilty_gear),"浮士德(罪恶装备)"
faux_bois,"木纹模仿"
faux_figurine,"仿手办风格,人造雕像"
faux_painting,"纹理绘画模仿"
faux_traditional_media,"仿手绘,假传统媒体"
favonius_sword_(genshin_impact),"风鹰剑(原神)"
faye_(fire_emblem),"faye(火徽)"
faye_valentine,"王菲情人节"
fbc,"美国广播公司"
fct,"事实"
fe_(tetsu),"铁(铁)"
fearless_night,"无畏的夜晚"
feater_(arknights),"羽毛(方舟)"
feather,"场景飘羽毛"
feather-trimmed_jacket,"羽毛边饰夹克"
feather-trimmed_sleeves,"羽毛边袖"
feather_boa,"羽毛围巾"
feather_collar,"羽衣领"
feather_dress,"羽毛连衣裙"
feather_duster,"鸡毛掸子"
feather_earrings,"羽毛耳环"
feather_fan,"羽扇"
